condition,created_at,dependency_condition,iteration,marker,missingness_type,model_id,model_key,quadruple_id,status,substrate_run_id,substrate_text
C07_Self_Audit_With_Context_AI,2026-05-16T03:52:03.068012+00:00,C01_AC_AIGovernance,1,risk,dependency_invalid,google/gemini-3.1-pro,gemini_3_1_pro,REPAIR-Q001,skipped_dependency,C07_Self_Audit_With_Context_AI|gemini_3_1_pro|REPAIR-Q001|iter1,
C07_Self_Audit_With_Context_AI,2026-05-16T03:52:03.076501+00:00,C01_AC_AIGovernance,2,risk,dependency_invalid,google/gemini-3.1-pro,gemini_3_1_pro,REPAIR-Q001,skipped_dependency,C07_Self_Audit_With_Context_AI|gemini_3_1_pro|REPAIR-Q001|iter2,
C07_Self_Audit_With_Context_AI,2026-05-16T03:52:03.087521+00:00,C01_AC_AIGovernance,3,risk,dependency_invalid,google/gemini-3.1-pro,gemini_3_1_pro,REPAIR-Q001,skipped_dependency,C07_Self_Audit_With_Context_AI|gemini_3_1_pro|REPAIR-Q001|iter3,
C07_Self_Audit_With_Context_AI,2026-05-16T03:52:03.093871+00:00,C01_AC_AIGovernance,1,evidence,dependency_invalid,google/gemini-3.1-pro,gemini_3_1_pro,REPAIR-Q002,skipped_dependency,C07_Self_Audit_With_Context_AI|gemini_3_1_pro|REPAIR-Q002|iter1,
C07_Self_Audit_With_Context_AI,2026-05-16T03:52:03.102882+00:00,C01_AC_AIGovernance,2,evidence,dependency_invalid,google/gemini-3.1-pro,gemini_3_1_pro,REPAIR-Q002,skipped_dependency,C07_Self_Audit_With_Context_AI|gemini_3_1_pro|REPAIR-Q002|iter2,
C07_Self_Audit_With_Context_AI,2026-05-16T03:52:03.111343+00:00,C01_AC_AIGovernance,3,evidence,dependency_invalid,google/gemini-3.1-pro,gemini_3_1_pro,REPAIR-Q002,skipped_dependency,C07_Self_Audit_With_Context_AI|gemini_3_1_pro|REPAIR-Q002|iter3,
C07_Self_Audit_With_Context_AI,2026-05-16T03:52:03.123237+00:00,C01_AC_AIGovernance,1,harm,dependency_invalid,google/gemini-3.1-pro,gemini_3_1_pro,REPAIR-Q003,skipped_dependency,C07_Self_Audit_With_Context_AI|gemini_3_1_pro|REPAIR-Q003|iter1,
C07_Self_Audit_With_Context_AI,2026-05-16T03:52:03.132407+00:00,C01_AC_AIGovernance,2,harm,dependency_invalid,google/gemini-3.1-pro,gemini_3_1_pro,REPAIR-Q003,skipped_dependency,C07_Self_Audit_With_Context_AI|gemini_3_1_pro|REPAIR-Q003|iter2,
C07_Self_Audit_With_Context_AI,2026-05-16T03:52:03.142363+00:00,C01_AC_AIGovernance,3,harm,dependency_invalid,google/gemini-3.1-pro,gemini_3_1_pro,REPAIR-Q003,skipped_dependency,C07_Self_Audit_With_Context_AI|gemini_3_1_pro|REPAIR-Q003|iter3,
C07_Self_Audit_With_Context_AI,2026-05-16T03:52:03.150859+00:00,C01_AC_AIGovernance,1,safe,dependency_invalid,google/gemini-3.1-pro,gemini_3_1_pro,REPAIR-Q004,skipped_dependency,C07_Self_Audit_With_Context_AI|gemini_3_1_pro|REPAIR-Q004|iter1,
C07_Self_Audit_With_Context_AI,2026-05-16T03:52:03.163409+00:00,C01_AC_AIGovernance,2,safe,dependency_invalid,google/gemini-3.1-pro,gemini_3_1_pro,REPAIR-Q004,skipped_dependency,C07_Self_Audit_With_Context_AI|gemini_3_1_pro|REPAIR-Q004|iter2,
C07_Self_Audit_With_Context_AI,2026-05-16T03:52:03.174048+00:00,C01_AC_AIGovernance,3,safe,dependency_invalid,google/gemini-3.1-pro,gemini_3_1_pro,REPAIR-Q004,skipped_dependency,C07_Self_Audit_With_Context_AI|gemini_3_1_pro|REPAIR-Q004|iter3,
C07_Self_Audit_With_Context_AI,2026-05-16T03:52:03.181421+00:00,C01_AC_AIGovernance,1,uncertainty,dependency_invalid,google/gemini-3.1-pro,gemini_3_1_pro,REPAIR-Q005,skipped_dependency,C07_Self_Audit_With_Context_AI|gemini_3_1_pro|REPAIR-Q005|iter1,
C07_Self_Audit_With_Context_AI,2026-05-16T03:52:03.193571+00:00,C01_AC_AIGovernance,2,uncertainty,dependency_invalid,google/gemini-3.1-pro,gemini_3_1_pro,REPAIR-Q005,skipped_dependency,C07_Self_Audit_With_Context_AI|gemini_3_1_pro|REPAIR-Q005|iter2,
C07_Self_Audit_With_Context_AI,2026-05-16T03:52:03.197603+00:00,C01_AC_AIGovernance,3,uncertainty,dependency_invalid,google/gemini-3.1-pro,gemini_3_1_pro,REPAIR-Q005,skipped_dependency,C07_Self_Audit_With_Context_AI|gemini_3_1_pro|REPAIR-Q005|iter3,
C09_Authorship_Displacement_Self,2026-05-16T05:38:53.105864+00:00,C03_Rhetorical_Form_AIGovernance,1,risk,dependency_invalid,google/gemini-3.1-pro,gemini_3_1_pro,REPAIR-Q001,skipped_dependency,C09_Authorship_Displacement_Self|gemini_3_1_pro|REPAIR-Q001|iter1,
C09_Authorship_Displacement_Self,2026-05-16T05:38:53.118433+00:00,C03_Rhetorical_Form_AIGovernance,2,risk,dependency_invalid,google/gemini-3.1-pro,gemini_3_1_pro,REPAIR-Q001,skipped_dependency,C09_Authorship_Displacement_Self|gemini_3_1_pro|REPAIR-Q001|iter2,
C09_Authorship_Displacement_Self,2026-05-16T05:38:53.128409+00:00,C03_Rhetorical_Form_AIGovernance,3,risk,dependency_invalid,google/gemini-3.1-pro,gemini_3_1_pro,REPAIR-Q001,skipped_dependency,C09_Authorship_Displacement_Self|gemini_3_1_pro|REPAIR-Q001|iter3,
C09_Authorship_Displacement_Self,2026-05-16T05:38:53.138070+00:00,C03_Rhetorical_Form_AIGovernance,1,evidence,dependency_invalid,google/gemini-3.1-pro,gemini_3_1_pro,REPAIR-Q002,skipped_dependency,C09_Authorship_Displacement_Self|gemini_3_1_pro|REPAIR-Q002|iter1,
C09_Authorship_Displacement_Self,2026-05-16T05:38:53.150582+00:00,C03_Rhetorical_Form_AIGovernance,2,evidence,dependency_invalid,google/gemini-3.1-pro,gemini_3_1_pro,REPAIR-Q002,skipped_dependency,C09_Authorship_Displacement_Self|gemini_3_1_pro|REPAIR-Q002|iter2,
C09_Authorship_Displacement_Self,2026-05-16T05:38:53.164501+00:00,C03_Rhetorical_Form_AIGovernance,3,evidence,dependency_invalid,google/gemini-3.1-pro,gemini_3_1_pro,REPAIR-Q002,skipped_dependency,C09_Authorship_Displacement_Self|gemini_3_1_pro|REPAIR-Q002|iter3,
C09_Authorship_Displacement_Self,2026-05-16T05:38:53.175896+00:00,C03_Rhetorical_Form_AIGovernance,1,harm,dependency_invalid,google/gemini-3.1-pro,gemini_3_1_pro,REPAIR-Q003,skipped_dependency,C09_Authorship_Displacement_Self|gemini_3_1_pro|REPAIR-Q003|iter1,
C09_Authorship_Displacement_Self,2026-05-16T05:38:53.186005+00:00,C03_Rhetorical_Form_AIGovernance,2,harm,dependency_invalid,google/gemini-3.1-pro,gemini_3_1_pro,REPAIR-Q003,skipped_dependency,C09_Authorship_Displacement_Self|gemini_3_1_pro|REPAIR-Q003|iter2,
C09_Authorship_Displacement_Self,2026-05-16T05:38:53.192654+00:00,C03_Rhetorical_Form_AIGovernance,3,harm,dependency_invalid,google/gemini-3.1-pro,gemini_3_1_pro,REPAIR-Q003,skipped_dependency,C09_Authorship_Displacement_Self|gemini_3_1_pro|REPAIR-Q003|iter3,
C09_Authorship_Displacement_Self,2026-05-16T05:38:53.206263+00:00,C03_Rhetorical_Form_AIGovernance,1,safe,dependency_invalid,google/gemini-3.1-pro,gemini_3_1_pro,REPAIR-Q004,skipped_dependency,C09_Authorship_Displacement_Self|gemini_3_1_pro|REPAIR-Q004|iter1,
C09_Authorship_Displacement_Self,2026-05-16T05:38:53.218315+00:00,C03_Rhetorical_Form_AIGovernance,2,safe,dependency_invalid,google/gemini-3.1-pro,gemini_3_1_pro,REPAIR-Q004,skipped_dependency,C09_Authorship_Displacement_Self|gemini_3_1_pro|REPAIR-Q004|iter2,
C09_Authorship_Displacement_Self,2026-05-16T05:38:53.232534+00:00,C03_Rhetorical_Form_AIGovernance,3,safe,dependency_invalid,google/gemini-3.1-pro,gemini_3_1_pro,REPAIR-Q004,skipped_dependency,C09_Authorship_Displacement_Self|gemini_3_1_pro|REPAIR-Q004|iter3,
C09_Authorship_Displacement_Self,2026-05-16T05:38:53.246932+00:00,C03_Rhetorical_Form_AIGovernance,1,uncertainty,dependency_invalid,google/gemini-3.1-pro,gemini_3_1_pro,REPAIR-Q005,skipped_dependency,C09_Authorship_Displacement_Self|gemini_3_1_pro|REPAIR-Q005|iter1,
C09_Authorship_Displacement_Self,2026-05-16T05:38:53.261622+00:00,C03_Rhetorical_Form_AIGovernance,2,uncertainty,dependency_invalid,google/gemini-3.1-pro,gemini_3_1_pro,REPAIR-Q005,skipped_dependency,C09_Authorship_Displacement_Self|gemini_3_1_pro|REPAIR-Q005|iter2,
