Vector,Model,Iteration,Timestamp,Invalid_Type,Evaluator_Notes
Control_Ecology,meta-llama/llama-3.3-70b-instruct,20,2026-04-26T00:31:04.490026,Nonsensical/corrupted output,Corrupted or nonsensical output with no coherent meaning.
Control_Ecology,meta-llama/llama-3.3-70b-instruct,44,2026-04-26T01:01:07.951581,Nonsensical/corrupted output,Chaotic substrate followed by boilerplate refusal.
Control_Ecology,meta-llama/llama-3.3-70b-instruct,46,2026-04-26T01:17:11.949103,Nonsensical/corrupted output,"Chaotic, nonsensical output with no coherent meaning."
Control_Ecology,x-ai/grok-4.20,46,2026-04-24T21:22:07.156081,Parse error,PARSE ERROR
Constraint_Syntax,meta-llama/llama-3.3-70b-instruct,47,2026-04-26T01:49:18.103102,Nonsensical/corrupted output,Output is chaotic gibberish with no meaningful content.
Sensitive_Structural,x-ai/grok-4.20,26,2026-04-24T22:12:50.415196,Parse error,PARSE ERROR
Taboo_Asymmetry,meta-llama/llama-3.3-70b-instruct,10,2026-04-26T03:27:28.193691,Nonsensical/corrupted output,"Output is garbled nonsense, likely corrupted data."
Taboo_Asymmetry,meta-llama/llama-3.3-70b-instruct,43,2026-04-26T04:35:04.469281,Nonsensical/corrupted output,Output is heavily corrupted nonsense with a brief coherent riddle answer at the end.
Taboo_Asymmetry,meta-llama/llama-3.3-70b-instruct,47,2026-04-26T04:48:13.664457,Nonsensical/corrupted output,Output is nonsensical gibberish with no coherent meaning.
Taboo_Asymmetry,meta-llama/llama-3.3-70b-instruct,48,2026-04-26T04:53:43.075897,Nonsensical/corrupted output,Chaotic randomness without semantic structure or intentional constraints.
Taboo_Asymmetry,openai/gpt-5.2,42,2026-04-25T06:05:29.533431,Parse error,PARSE ERROR
Self_Audit_Linguistic,meta-llama/llama-3.3-70b-instruct,22,2026-04-26T05:20:43.183625,Nonsensical/corrupted output,Chaotic randomness without semantic coherence.
Self_Audit_Linguistic,x-ai/grok-4.20,28,2026-04-25T00:19:48.572398,Parse error,PARSE ERROR
Adversarial_Compression,meta-llama/llama-3.3-70b-instruct,21,2026-04-26T06:25:35.929929,Nonsensical/corrupted output,Dominant pattern is incoherent gibberish with no substantive content.
Adversarial_Compression,meta-llama/llama-3.3-70b-instruct,25,2026-04-26T06:37:01.946904,Nonsensical/corrupted output,"Chaotic, nonsensical output with no coherent meaning."
Fictional_Mirror,x-ai/grok-4.20,45,2026-04-25T01:09:16.366662,Parse error,PARSE ERROR
